slug,mrc,nu,param,cell_a,cell_b,pearson,spearman,max_abs
Po10_M_14-25_mrc5,5,8.0,u,baseline,drift,0.9970734868189466,0.996289805602051,0.19667515799693547
Po10_M_14-25_mrc5,5,8.0,u,baseline,full,0.9813150752662081,0.9736526088923877,0.18963099079964962
Po10_M_14-25_mrc5,5,8.0,u,aging,baseline,0.9844143492756549,0.9774556231801561,0.15869612210427597
Po10_M_14-25_mrc5,5,8.0,u,aging,drift,0.9847517796110097,0.9790219356074175,0.21643112565543632
Po10_M_14-25_mrc5,5,8.0,u,aging,full,0.9980575841490009,0.9978055831112443,0.19084816890956624
Po10_M_14-25_mrc5,5,8.0,u,drift,full,0.9847894657496279,0.9785663239430501,0.23712951099914292
Po10_B_14-25_mrc2,2,8.0,v,baseline,drift,0.9404634996257943,0.9233675956615383,0.031029741318244205
Po10_B_14-25_mrc2,2,8.0,v,baseline,full,0.9268783095754215,0.9062336372664079,0.0395721405294363
Po10_B_14-25_mrc2,2,8.0,v,aging,baseline,0.9749429895973006,0.9667696256077587,0.016595751084521923
Po10_B_14-25_mrc2,2,8.0,v,aging,drift,0.9123977013921203,0.8806445788570914,0.03251252962084267
Po10_B_14-25_mrc2,2,8.0,v,aging,full,0.9289559663813955,0.8917738170469054,0.03218351536633008
Po10_B_14-25_mrc2,2,8.0,v,drift,full,0.9167297921593771,0.876024968080579,0.03972376191345796
Po10_B_14-25_mrc2,2,8.0,u,baseline,drift,0.9962908871949681,0.9967107859948853,0.48812525369621085
Po10_B_14-25_mrc2,2,8.0,u,baseline,full,0.9918878667025692,0.9920668678008614,0.5568848894002887
Po10_B_14-25_mrc2,2,8.0,u,aging,baseline,0.9950996180419841,0.9950191249649764,0.4390169339004153
Po10_B_14-25_mrc2,2,8.0,u,aging,drift,0.992179900609008,0.992540597107206,0.5039689219333354
Po10_B_14-25_mrc2,2,8.0,u,aging,full,0.9963063314791761,0.9966534385152969,0.5462404726456676
Po10_B_14-25_mrc2,2,8.0,u,drift,full,0.9907023442268498,0.9913478236638377,0.5642454307023836
Po10_B_14-25_mrc5,5,8.0,v,baseline,drift,0.8501014724443131,0.837249791159782,0.05558295728383367
Po10_B_14-25_mrc5,5,8.0,v,baseline,full,0.9019032485922676,0.8822177689930478,0.054473318817424454
Po10_B_14-25_mrc5,5,8.0,v,aging,baseline,0.9122757927336046,0.8754718875960322,0.03365563136286282
Po10_B_14-25_mrc5,5,8.0,v,aging,drift,0.8283517321334962,0.8161758731347031,0.05203819825316951
Po10_B_14-25_mrc5,5,8.0,v,aging,full,0.9625314550792092,0.9629656680376322,0.05129128801841072
Po10_B_14-25_mrc5,5,8.0,v,drift,full,0.8457080699268499,0.8419442453678554,0.048576554982097335
Po10_B_14-25_mrc5,5,8.0,u,baseline,drift,0.9975446439084497,0.9972904296965928,0.20175418943631662
Po10_B_14-25_mrc5,5,8.0,u,baseline,full,0.9846014339895572,0.982001996555082,0.19754124533464257
Po10_B_14-25_mrc5,5,8.0,u,aging,baseline,0.9871746376053442,0.9848068338905365,0.15138664793082768
Po10_B_14-25_mrc5,5,8.0,u,aging,drift,0.9872202707159075,0.9851590730556592,0.2194535007311078
Po10_B_14-25_mrc5,5,8.0,u,aging,full,0.9983335346047735,0.9982496137706628,0.19621144304338856
Po10_B_14-25_mrc5,5,8.0,u,drift,full,0.9873789133267505,0.9851231578663504,0.24400127790705284
ALL_W_14-25_mrc2,2,8.0,v,baseline,drift,0.9576898905392439,0.9441340729574008,0.025084000066175616
ALL_W_14-25_mrc2,2,8.0,v,baseline,full,0.9447916391610158,0.9363325273220274,0.027043124078092458
ALL_W_14-25_mrc2,2,8.0,v,aging,baseline,0.9582032671813964,0.9539529461636286,0.025184296948834093
ALL_W_14-25_mrc2,2,8.0,v,aging,drift,0.926032760018062,0.9089603332070803,0.032972457748003905
ALL_W_14-25_mrc2,2,8.0,v,aging,full,0.9654053069210375,0.9523629759877191,0.02011637828021807
ALL_W_14-25_mrc2,2,8.0,v,drift,full,0.9386790433081903,0.9258696393768294,0.027434417762718818
ALL_W_14-25_mrc2,2,8.0,u,baseline,drift,0.9976569439322451,0.9975945825274635,0.38768181337459673
ALL_W_14-25_mrc2,2,8.0,u,baseline,full,0.9958213822334642,0.9956436152243305,0.4650139499566013
ALL_W_14-25_mrc2,2,8.0,u,aging,baseline,0.997653280774527,0.9975478287561608,0.45545536025608335
ALL_W_14-25_mrc2,2,8.0,u,aging,drift,0.9956911072342224,0.9955868548671029,0.4643328588494562
ALL_W_14-25_mrc2,2,8.0,u,aging,full,0.997704138193842,0.9976418811398398,0.42219894882914133
